Date;NOK;USD;DKK;PLN;SEK;Month;Day
2016-09-30;0;0,506650544;0,544827586;0,327314637;0,998346082;9;30
2016-09-29;0,074515235;0,579201935;0,579310345;0,278524779;1;9;29
2016-09-27;0,172160665;0,577992745;0,503448276;0,210142144;0,998966301;9;27
2016-09-26;0,201246537;0,628778718;0,634482759;0,270841337;0,970436221;9;26
2016-09-23;0,161080332;0,570737606;0,679310345;0,203227046;0,917717594;9;23
2016-09-22;0,167313019;0,599758162;0,648275862;0,19669612;0,92040521;9;22
2016-09-21;0,339750693;0,493349456;0,65862069;0,220898963;0,892495348;9;21
2016-09-20;0,385457064;0,534461911;0,568965517;0,243949289;0,90593343;9;20
2016-09-19;0,36565097;0,511487304;0,510344828;0,224740684;0,890427951;9;19
2016-09-16;0,382271468;0,585247884;0,4;0,317710334;0,866032665;9;16
2016-09-15;0,385457064;0,6191052;0,372413793;0,351133308;0,851560885;9;15
2016-09-14;0,399307479;0,575574365;0,3;0,414905878;0,81910275;9;14
2016-09-13;0,33933518;0,610640871;0,282758621;0,43718786;0,826752119;9;13
2016-09-12;0,394459834;0,585247884;0,272413793;0,443334614;0,86954724;9;12
2016-09-09;0,360803324;0,636033857;0,251724138;0,38609297;0,752325822;9;9
2016-09-08;0,288781163;0,669891173;0,255172414;0,293123319;0,736820343;9;8
2016-09-05;0,359141274;0,500604595;0,179310345;0,461390703;0,847012611;9;5
2016-09-02;0,457756233;0,545344619;0,165517241;0,6046869;0,951829646;9;2
2016-09-01;0,441135734;0,488512696;0,217241379;0,501344602;0,849493488;9;1
2016-08-31;0,40166205;0,471584039;0,265517241;0,458317326;0,781062642;8;31
2016-08-30;0,416620499;0,515114873;0,320689655;0,421052632;0,749844945;8;30
2016-08-29;0,396952909;0,517533253;0,331034483;0,374183634;0,735786645;8;29
2016-08-26;0,365096953;0,662636034;0,368965517;0,347291587;0,728137275;8;26
2016-08-25;0,402493075;0,662636034;0,296551724;0,300806761;0,73909448;8;25
2016-08-24;0,359418283;0,636033857;0,265517241;0,268536304;0,654124457;8;24
2016-08-23;0,416897507;0,721886336;0,234482759;0,301959278;0,680587141;8;23
2016-08-22;0,473130194;0,681983071;0,227586207;0,260852862;0,712011577;8;22
2016-08-19;0,440858726;0,706166868;0,213793103;0,250480215;0,734959686;8;19
2016-08-18;0,349584488;0,700120919;0,213793103;0,224740684;0,698366756;8;18
2016-08-17;0,408171745;0,645707376;0,2;0,217825586;0,738060781;8;17
2016-08-16;0,309695291;0,668681983;0,144827586;0,136765271;0,651436841;8;16
2016-08-15;0,261357341;0,529625151;0,172413793;0,136381099;0,665701881;8;15
2016-08-12;0,245152355;0,503022975;0,148275862;0,122166731;0,603266487;8;12
2016-08-11;0,336288089;0,496977025;0,106896552;0,101421437;0,605540624;8;11
2016-08-10;0,374792244;0,534461911;0,1;0,132155206;0,709117221;8;10
2016-08-09;0,513157895;0,406287787;0,04137931;0,126392624;0,722348563;8;9
2016-08-08;0,581717452;0,417170496;0,044827586;0,171340761;0,799875956;8;8
2016-08-05;0,575761773;0,500604595;0,062068966;0,192470227;0,757080835;8;5
2016-08-04;0,589058172;0,476420798;0,096551724;0,230503265;0,769898698;8;4
2016-08-03;0,605401662;0,553808948;0,110344828;0,303495966;0,778375026;8;3
2016-08-02;0,62299169;0,545344619;0,120689655;0,34613907;0,859210254;8;2
2016-08-01;0,635734072;0,510278114;0,117241379;0,449481368;0,92040521;8;1
2016-07-29;0,723961219;0,448609432;0,065517241;0,495582021;0,887326855;7;29
2016-07-28;0,628808864;0,420798065;0,148275862;0,497887053;0,850940666;7;28
2016-07-27;0,626315789;0,301088271;0,127586207;0,535151748;0,824684722;7;27
2016-07-26;0,623961219;0,30834341;0,131034483;0,495197849;0,773826752;7;26
2016-07-25;0,586842105;0,290205562;0,131034483;0,475605071;0,762662808;7;25
2016-07-22;0,551523546;0,328899637;0,120689655;0,46638494;0,743849493;7;22
2016-07-21;0,509141274;0,330108827;0,120689655;0,519400692;0,693611743;7;21
2016-07-20;0,51066482;0,327690447;0,1;0,544756051;0,682861278;7;20
2016-07-15;0,459556787;0,466747279;0,068965517;0,67575874;0,656398594;7;15
2016-07-14;0,468421053;0,501813785;0,079310345;0,681905494;0,626834815;7;14
2016-07-13;0,454293629;0,399032648;0,079310345;0,658855167;0,617531528;7;13
2016-07-12;0,5033241;0,423216445;0,079310345;0,703419132;0,638618979;7;12
2016-07-11;0,581163435;0,371221282;0,05862069;0,718401844;0,698573496;7;11
2016-07-08;0,563019391;0,396614268;0,196551724;0,744525547;0,683068017;7;8
2016-07-07;0,542520776;0,408706167;0,193103448;0,743373031;0,705189167;7;7
2016-07-06;0,505817175;0,395405079;0,193103448;0,853630426;0,680173661;7;6
2016-07-05;0,461495845;0,488512696;0,151724138;0,813292355;0,609468679;7;5
2016-07-04;0,370221607;0,478839178;0,189655172;0,754514022;0,522844738;7;4
2016-07-01;0,430747922;0,475211608;0,086206897;0,624663849;0,520777341;7;1
2016-06-30;0,43531856;0,435308343;0,131034483;0,776796005;0,591482324;6;30
2016-06-29;0,443213296;0,420798065;0,072413793;0,737994622;0,605747364;6;29
2016-06-28;0,542936288;0,400241838;0,106896552;0,796388782;0,629315692;6;28
2016-06-27;0,578947368;0,3095526;0,051724138;0,875528237;0,551788299;6;27
2016-06-24;0,600415512;0,391777509;0,055172414;0,849020361;0,667562539;6;24
2016-06-23;0,433240997;0,782345828;0,14137931;0,472915866;0,34091379;6;23
2016-06-22;0,511080332;0,654171705;0,1;0,555128698;0,431465785;6;22
2016-06-21;0,53365651;0,69165659;0,010344828;0,634268152;0,38432913;6;21
2016-06-17;0,61565097;0,6191052;0,024137931;0,815597388;0,503204466;6;17
2016-06-16;0,544736842;0,522370012;0;0,825970035;0,523878437;6;16
2016-06-15;0,491689751;0,590084643;0,003448276;0,683442182;0,446351044;6;15
2016-06-14;0,524930748;0,584038694;0,010344828;0,765270841;0,372751706;6;14
2016-06-13;0,470914127;0,636033857;0,003448276;0,593161736;0,389497622;6;13
2016-06-10;0,396121884;0,679564692;0,003448276;0,480599308;0,382881952;6;10
2016-06-09;0,363434903;0,726723096;0,024137931;0,376872839;0,21749018;6;9
2016-06-08;0,3033241;0,76904474;0,031034483;0,341144833;0,186479223;6;8
2016-06-07;0,326869806;0,732769045;0,031034483;0,440261237;0,177175935;6;7
2016-06-06;0,425207756;0,733978235;0,075862069;0,551671149;0,223072152;6;6
2016-06-03;0,413850416;0,498186215;0,093103448;0,584325778;0,253049411;6;3
2016-06-02;0,484072022;0,53929867;0,096551724;0,600461007;0,323340914;6;2
2016-06-01;0,445706371;0,522370012;0,103448276;0,629273915;0,292536696;6;1
2016-05-31;0,461911357;0,498186215;0,072413793;0,585862466;0,316105024;5;31
2016-05-30;0,43767313;0,480048368;0,048275862;0,614675375;0,299565847;5;30
2016-05-27;0,409279778;0,515114873;0,04137931;0,603918556;0,267107711;5;27
2016-05-26;0,360803324;0,515114873;0,04137931;0,679216289;0,307835435;5;26
2016-05-25;0,426592798;0,488512696;0,048275862;0,716480983;0,262559438;5;25
2016-05-24;0,483379501;0,515114873;0,034482759;0,775259316;0,347115981;5;24
2016-05-23;0,52534626;0,571946796;0,055172414;0,778716865;0,425677073;5;23
2016-05-20;0,483379501;0,576783555;0,051724138;0,715712639;0,45627455;5;20
2016-05-19;0,51634349;0,550181378;0,037931034;0,610065309;0,481290056;5;19
2016-05-18;0,404432133;0,649334946;0,062068966;0,593545909;0,443249948;5;18
2016-05-17;0,37299169;0,696493349;0,106896552;0,492124472;0,440769072;5;17
2016-05-16;0,346952909;0,703748489;0,103448276;0,529389166;0,411205293;5;16
2016-05-13;0,389612188;0,732769045;0,148275862;0,610449481;0,393632417;5;13
