Time;NOK;USD;DKK;PLN;SEK
1,2;0,89386641;0,096852594;0,871424055;0,340227864;0,178033861
1,21;0,894802203;0,100241511;0,872168923;0,348804887;0,185903958
1,22;0,895738704;0,103611526;0,87304067;0,357631461;0,193694318
1,23;0,896667335;0,10695566;0,874031259;0,366698068;0,201396802
1,24;0,897579523;0,110266937;0,875132658;0,37599519;0,209003274
1,25;0,898466691;0,113538378;0,87633683;0,385513307;0,216505596
1,26;0,899320265;0,116763006;0,87763574;0,395242902;0,22389563
1,27;0,900131668;0,119933843;0,879021355;0,405174456;0,231165239
1,28;0,900892327;0,123043912;0,880485639;0,41529845;0,238306285
1,29;0,901593665;0,126086234;0,882020558;0,425605365;0,245310632
1,3;0,902227106;0,129053832;0,883618076;0,436085685;0,252170142
1,31;0,902784077;0,131939729;0,885270159;0,446729889;0,258876677
1,32;0,903256001;0,134736946;0,886968772;0,45752846;0,2654221
1,33;0,903634303;0,137438506;0,88870588;0,468471878;0,271798273
1,34;0,903910408;0,140037432;0,890473449;0,479550626;0,277997059
1,35;0,90407574;0,142526745;0,892263443;0,490755186;0,284010321
1,36;0,904121724;0,144899468;0,894067828;0,502076037;0,289829921
1,37;0,904039785;0,147148624;0,895878568;0,513503663;0,295447722
1,38;0,903867466;0,149331348;0,89776214;0,525055548;0,300882004
1,39;0,903848352;0,151787186;0,900114854;0,536874683;0,30627336
1,4;0,903957235;0,154475736;0,902894026;0,548954232;0,311615064
1,41;0,90412006;0,157288246;0,905977714;0,561259297;0,316872885
1,42;0,904262771;0,160115959;0,909243976;0,57375498;0,322012591
1,43;0,904311313;0,162850121;0,912570874;0,586406384;0,326999951
1,44;0,904191632;0,165381979;0,915836464;0,599178611;0,331800733
1,45;0,903829672;0,167602776;0,918918806;0,612036764;0,336380707
1,46;0,903151378;0,169403759;0,92169596;0,624945944;0,340705641
1,47;0,902087154;0,170676024;0,924050476;0,637884362;0,34474289
1,48;0,900916328;0,171337739;0,926232705;0,651793669;0,348585752
1,49;0,899806362;0,171432098;0,928431203;0,667091788;0,352293207
1,5;0,898709582;0,171032855;0,93062759;0,683526691;0,355848729
1,51;0,897578317;0,170213764;0,932803488;0,700846346;0,359235791
1,52;0,896364892;0,169048582;0,934940515;0,718798726;0,362437869
1,53;0,895021635;0,167611061;0,937020292;0,737131801;0,365438435
1,54;0,893500874;0,165974957;0,939024438;0,755593542;0,368220963
1,55;0,891754934;0,164214025;0,940934575;0,773931919;0,370768926
1,56;0,889736143;0,162402018;0,942732322;0,791894903;0,3730658
1,57;0,887396829;0,160612692;0,9443993;0,809230464;0,375095057
1,58;0,884689317;0,158919802;0,945917127;0,825686574;0,376840171
1,59;0,881565936;0,157397101;0,947267425;0,841011203;0,378284616
1,6;0,877979012;0,156118344;0,948431813;0,854952321;0,379411866
1,61;0,873880871;0,155157287;0,949391912;0,8672579;0,380205394
1,62;0,869223842;0,154587683;0,950129342;0,877675909;0,380648674
1,63;0,863831531;0,154356567;0,950596636;0,886137215;0,380583474
1,64;0,856980834;0,153778888;0,95062871;0,893591145;0,379221818
1,65;0,848742977;0,152805541;0,950249178;0,900234325;0,376606831
1,66;0,839328676;0,151514309;0,949513833;0,906092044;0,372932098
1,67;0,828948643;0,149982977;0,948478468;0,911189588;0,368391203
1,68;0,817813593;0,148289327;0,947198875;0,915552244;0,363177733
1,69;0,806134238;0,146511145;0,945730847;0,9192053;0,357485271
1,7;0,794121293;0,144726213;0,944130175;0,922174043;0,351507404
1,71;0,781985472;0,143012315;0,942452652;0,92448376;0,345437717
1,72;0,769937487;0,141447236;0,94075407;0,926159738;0,339469794
1,73;0,758188053;0,140108758;0,939090223;0,927227264;0,33379722
1,74;0,746947884;0,139074665;0,937516901;0,927711626;0,328613582
1,75;0,736427693;0,138422741;0,936089898;0,927638111;0,324112464
1,76;0,726838193;0,138230771;0,934865006;0,927032005;0,32048745
1,77;0,718390099;0,138576536;0,933898018;0,925918597;0,317932127
1,78;0,711294125;0,139537822;0,933244725;0,924323172;0,31664008
1,79;0,704779726;0,140682372;0,932783458;0,921795497;0,316034592
1,8;0,697551432;0,141363864;0,932268943;0,917767055;0,315082616
1,81;0,689894944;0,141799126;0,931721722;0,91253115;0,313961266
1,82;0,682116236;0,142215782;0,93116588;0,906391514;0,312863375
1,83;0,674521282;0,142841457;0,930625501;0,899651881;0,311981775
1,84;0,667416057;0,143903774;0,930124669;0,892615982;0,311509299
1,85;0,661106534;0,14563036;0,929687467;0,885587551;0,31163878
1,86;0,65589869;0,148248839;0,929337979;0,87887032;0,312563051
1,87;0,652098497;0,151986835;0,92910029;0,872768021;0,314474945
1,88;0,649916589;0,157003847;0,928987393;0,867304;0,317542229
1,89;0,64894458;0,16300878;0,928947243;0,861029743;0,321706096
1,9;0,64902942;0,169880128;0,92896831;0,853789932;0,326875574
1,91;0,650097584;0,177552294;0,92904909;0,845701869;0,332973507
1,92;0,652075551;0,185959681;0,929188075;0,836882857;0,339922739
1,93;0,654889797;0,195036691;0,92938376;0,827450198;0,347646114
1,94;0,658466799;0,204717728;0,92963464;0,817521194;0,356066476
1,95;0,662733035;0,214937194;0,929939208;0,807213148;0,365106668
1,96;0,667614982;0,225629493;0,930295958;0,796643361;0,374689536
1,97;0,673039116;0,236729026;0,930703385;0,785929136;0,384737922
1,98;0,678931915;0,248170198;0,931159982;0,775187776;0,395174671
1,99;0,685219856;0,25988741;0,931664244;0,764536583;0,405922627
2;0,691829417;0,271815066;0,932214665;0,754092859;0,416904634
2,01;0,698687073;0,283887568;0,932809739;0,743973906;0,428043535
2,02;0,705719303;0,29603932;0,93344796;0,734297026;0,439262174
2,03;0,712852584;0,308204724;0,934127822;0,725179523;0,450483397
2,04;0,720013392;0,320318183;0,934847819;0,716738698;0,461630045
2,05;0,727128205;0,3323141;0,935606446;0,709091853;0,472624964
2,06;0,734123499;0,344126877;0,936402196;0,702356292;0,483390998
2,07;0,740925753;0,355690919;0,937233564;0,696649315;0,493850989
2,08;0,747461442;0,366940627;0,938099044;0,692088226;0,503927783
2,09;0,753657045;0,377810404;0,938997129;0,688790327;0,513544224
2,1;0,760092487;0,389084438;0,939966856;0,687366702;0,523234463
2,11;0,768742879;0,403309602;0,941127698;0,689166419;0,534848067
2,12;0,778863882;0,4194332;0,942422932;0,69309803;0,547702946
2,13;0,78945417;0,436065579;0,943779566;0,697859047;0,560877138
2,14;0,799512417;0,451817089;0,94512461;0,702146983;0,573448685
2,15;0,808037295;0,465298077;0,946385072;0,704659352;0,584495623
2,16;0,814317329;0,475508276;0,94752427;0,704465426;0,593380585
2,17;0,820656063;0,485518184;0,948860247;0,704511294;0,602400723
2,18;0,827680763;0,496186545;0,950455821;0,705612364;0,612156607
2,19;0,835270901;0,507371739;0,952275381;0,707626952;0,62250925
2,2;0,843305949;0,518932142;0,954283316;0,710413377;0,633319669
2,21;0,851665377;0,530726134;0,956444015;0,713829958;0,644448876
2,22;0,860228658;0,542612092;0,958721866;0,717735012;0,655757887
2,23;0,868875261;0,554448394;0,961081257;0,721986858;0,667107715
2,24;0,877484659;0,566093418;0,963486578;0,726443814;0,678359376
2,25;0,885936322;0,577405543;0,965902216;0,730964199;0,689373883
2,26;0,894109722;0,588243145;0,96829256;0,735406329;0,700012252
2,27;0,901884329;0,598464604;0,970621999;0,739628525;0,710135495
2,28;0,909139617;0,607928297;0,972854922;0,743489103;0,719604629
2,29;0,915755054;0,616492602;0,974955716;0,746846382;0,728280667
2,3;0,921610113;0,624015898;0,976888771;0,749558681;0,736024623
2,31;0,926584266;0,630356562;0,978618475;0,751484317;0,742697513
2,32;0,930556982;0,635372972;0,980109216;0,752481609;0,748160349
2,33;0,933407734;0,638923506;0,981325384;0,752408875;0,752274148
2,34;0,935015992;0,640866543;0,982231366;0,751124433;0,754899923
2,35;0,93521548;0,640970206;0,982853598;0,748485015;0,755843436
2,36;0,933842098;0,638918284;0,983401018;0,744472882;0,754904165
2,37;0,931043863;0,634902263;0,983885331;0,739234041;0,752247675
2,38;0,926992102;0,629154898;0,984296503;0,732921987;0,748067207
2,39;0,92185814;0,621908942;0,984624502;0,725690215;0,742556002
2,4;0,915813304;0,61339715;0,984859293;0,717692221;0,735907301
2,41;0,90902892;0,603852274;0,984990845;0,709081499;0,728314344
2,42;0,901676314;0,593507068;0,985009122;0,700011545;0,719970374
2,43;0,893926813;0,582594286;0,984904094;0,690635854;0,711068631
2,44;0,885951742;0,571346681;0,984665725;0,681107922;0,701802357
2,45;0,877922428;0,559997008;0,984283984;0,671581244;0,692364792
2,46;0,870010197;0,548778019;0,983748836;0,662209314;0,682949177
2,47;0,862386375;0,537922469;0,983050249;0,653145629;0,673748755
2,48;0,855222289;0,527663111;0,982178189;0,644543684;0,664956765
2,49;0,848689264;0,518232698;0,981122623;0,636556974;0,65676645
2,5;0,842958628;0,509863985;0,979873518;0,629338994;0,64937105
2,51;0,837295296;0,501779819;0,978333998;0,622406488;0,64193347
2,52;0,830986077;0,493148965;0,976452885;0,615239358;0,633644451
2,53;0,824235137;0,484123052;0,974288693;0,607935838;0,62473899
2,54;0,817246641;0,474853709;0,971899937;0,60059416;0,615452085
2,55;0,810224753;0,465492566;0,96934513;0,593312557;0,60601873
2,56;0,803373639;0,45619125;0,966682789;0,586189262;0,596673924
2,57;0,796897464;0,447101392;0,963971427;0,579322508;0,587652662
2,58;0,791000393;0,43837462;0,961269558;0,572810527;0,579189942
2,59;0,785886591;0,430162563;0,958635697;0,566751553;0,571520759
2,6;0,781620544;0,422454992;0,956026977;0,561194501;0,564573951
2,61;0,777771635;0,414737496;0,953112256;0,555994355;0,557361683
2,62;0,774250562;0,406975964;0,949894766;0,551103302;0,549849702
2,63;0,771012474;0,399191491;0,946413784;0,546488208;0,542110157
2,64;0,76801252;0,391405176;0,942708589;0,542115936;0,534215196
2,65;0,765205846;0,383638115;0,93881846;0,537953349;0,526236967
2,66;0,762547601;0,375911405;0,934782674;0,533967311;0,518247619
